"personal_id","occupation1","age","p_mig","max_inc"
1860003,"slussvakt",63,0,1845.83337402344
1860003,"slussvakt",64,0,1845.83337402344
1860003,"slussvakt",65,0,1845.83337402344
1860003,"slussvakt",66,0,1845.83337402344
1860003,"slussvakt",67,0,1845.83337402344
1860003,"slussvakt",68,0,1845.83337402344
1860003,"slussvakt",69,0,1845.83337402344
1860003,"slussvakt",70,0,1845.83337402344
1860003,"slussvakt",71,0,1845.83337402344
1860004,NA,0,0,NA
1860004,NA,1,0,NA
1860004,NA,2,0,NA
1860004,NA,3,0,NA
1860004,NA,4,0,NA
1860004,NA,5,0,NA
1860004,NA,6,0,NA
1860004,NA,7,0,NA
1860004,NA,8,0,NA
1860004,NA,9,0,NA
1860004,NA,10,0,NA
1860004,NA,11,0,NA
1860004,NA,12,0,NA
1860004,NA,13,0,NA
1860004,NA,14,0,NA
1860004,NA,15,0,NA
1860004,NA,16,0,NA
1860004,NA,17,0,NA
1860004,NA,18,0,NA
1860004,"lös piga",24,0,54.6035499572754
1860004,"lös piga",25,0,54.6035499572754
1860004,"lös piga",26,0,54.6035499572754
1860004,"lös piga",27,0,54.6035499572754
1860004,"lös piga",28,0,54.6035499572754
1860004,"lös piga",29,0,54.6035499572754
1860004,"lös piga",30,0,54.6035499572754
1860004,"lös piga",31,0,54.6035499572754
1860004,"lös piga",32,0,54.6035499572754
1860004,"lös piga",33,0,54.6035499572754
1860004,"fattighjon",34,0,643.220336914062
1860004,"fattighjon",35,0,643.220336914062
1860004,"fattighjon",36,0,643.220336914062
1860004,"fattighjon",37,0,643.220336914062
1860004,"fattighjon",38,0,643.220336914062
1860004,"fattighjon",39,0,643.220336914062
1860004,"fattighjon",40,0,643.220336914062
1860004,"fattighjon",41,0,643.220336914062
1860004,"fattighjon",42,0,643.220336914062
1860004,"fattighjon",43,0,643.220336914062
1860004,"fattighjon",44,0,643.220336914062
1860004,"fattighjon",45,0,643.220336914062
1860004,"fattighjon",46,0,643.220336914062
1860004,"fattighjon",47,0,643.220336914062
1860004,"fattighjon",48,0,643.220336914062
1860004,"fattighjon",49,0,643.220336914062
1860004,"fattighjon",50,0,643.220336914062
1860004,"fattighjon",51,0,643.220336914062
1860004,"fattighjon",52,0,643.220336914062
1860004,"fattighjon",53,0,643.220336914062
1860004,"fattighjon",54,0,643.220336914062
1860004,"fattighjon",55,0,643.220336914062
1860005,NA,0,0,NA
1860005,NA,1,0,NA
1860005,NA,2,0,NA
1860005,NA,3,0,NA
1860005,NA,4,0,NA
1860005,NA,5,0,NA
1860005,NA,6,0,NA
1860005,NA,7,0,NA
1860005,NA,8,0,NA
1860005,NA,9,0,NA
1860005,NA,10,0,NA
1860005,NA,11,1,NA
1860005,NA,12,0,NA
1860005,NA,13,0,NA
1860005,NA,14,0,NA
1860005,NA,15,0,NA
1860005,NA,16,0,NA
1860005,NA,17,0,NA
1860005,NA,18,0,NA
1860005,NA,19,0,NA
1860005,NA,20,0,NA
1860005,NA,21,1,NA
1860005,NA,22,1,NA
1860005,"husmamsell",23,1,238.235290527344
1860005,"piga",24,0,54.6035499572754
1860005,"tvätterska",25,0,100.875
1860005,"tvätterska",26,0,100.875
1860005,"tvätterska",27,1,100.875
1860005,"piga",28,1,54.6035499572754
1860005,"piga",29,1,54.6035499572754
1860005,"sömmerska",30,0,107.826667785645
1860006,NA,0,0,NA
1860006,NA,1,0,NA
1860006,NA,2,0,NA
1860006,NA,3,0,NA
1860006,NA,4,0,NA
1860006,NA,5,0,NA
1860006,NA,6,0,NA
1860006,NA,7,0,NA
1860006,NA,8,0,NA
1860006,NA,9,0,NA
1860006,NA,10,0,NA
1860006,NA,11,0,NA
1860006,NA,12,0,NA
1860006,NA,13,0,NA
1860006,NA,14,0,NA
1860006,NA,15,0,NA
1860006,NA,16,0,NA
1860006,NA,17,0,NA
1860006,NA,18,0,NA
1860006,NA,19,0,NA
1860006,NA,20,0,NA
1860006,NA,21,0,NA
1860006,NA,22,0,NA
1860006,NA,23,0,NA
1860006,NA,24,0,NA
1860006,NA,25,0,NA
1860006,NA,26,0,NA
1860006,NA,27,0,NA
1860006,NA,28,0,NA
1860006,NA,29,0,NA
1860006,NA,30,0,NA
1860006,NA,31,0,NA
1860006,NA,32,0,NA
